id,month,abg_sku,rip_code,upc,brand,valid_from,valid_to,description,tier1_unit,tier1_qty,tier1_rebate,tier2_unit,tier2_qty,tier2_rebate,comments
62494,2026-04,2310040,108701,80686356400,465444,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62495,2026-04,2318030,108701,80686339205,757108,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62496,2026-04,2320530,108701,80686367208,465874,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62497,2026-04,2321030,108701,80686316015,456370,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62498,2026-04,2321031,108701,80686316015,456370,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62499,2026-04,2324040,108701,80686322405,307219,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62500,2026-04,2325020,108701,80686365129,461083,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62501,2026-04,2325030,108701,80686310242,461083,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62502,2026-04,2325040,108701,80686365433,461083,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
62503,2026-04,2326030,108701,80686345206,463449,2026-04-01,2026-04-30,DEKUYPER CORDIALS   EXCLUDES TRIPLE SEC 30PF & ALL 50ML,Case(s),3.0,10.0,Case(s),5.0,40.0,ALL SIZES
